status_id,status_created_at,annotation1,annotation2
1.23738723177984E+018,Tue Mar 10 14:38:00 +0000 2020,irrelevant,
1.24017523530496E+018,Wed Mar 18 07:16:32 +0000 2020,irrelevant,
1.24132484492032E+018,Sat Mar 21 11:24:40 +0000 2020,irrelevant,
1.24187236174336E+018,Sun Mar 22 23:40:18 +0000 2020,irrelevant,
1.24302444262144E+018,Thu Mar 26 03:58:16 +0000 2020,irrelevant,
1.2433159179136E+018,Thu Mar 26 23:16:29 +0000 2020,irrelevant,
1.27380356975872E+018,Fri Jun 19 02:23:31 +0000 2020,politics,
1.27538424168192E+018,Tue Jun 23 11:04:33 +0000 2020,true public health response,
1.21511327071094E+018,Thu Jan 09 03:29:14 +0000 2020,true public health response,
1.21667676598218E+018,Mon Jan 13 11:02:00 +0000 2020,news,
1.2171595744338E+018,Tue Jan 14 19:00:30 +0000 2020,news,
1.22261529634461E+018,Wed Jan 29 20:19:36 +0000 2020,calling out or correction,
1.22298468512037E+018,Thu Jan 30 20:47:25 +0000 2020,sarcasm or satire,
1.2241472575172E+018,Mon Feb 03 01:47:04 +0000 2020,true public health response,
1.22497016245917E+018,Wed Feb 05 08:17:00 +0000 2020,calling out or correction,
1.22505387237018E+018,Wed Feb 05 13:49:38 +0000 2020,calling out or correction,
1.2255491731577E+018,Thu Feb 06 22:37:47 +0000 2020,calling out or correction,
1.22583561665666E+018,Fri Feb 07 17:36:00 +0000 2020,calling out or correction,
1.22627632202198E+018,Sat Feb 08 22:47:12 +0000 2020,fake cure,
1.22731044840132E+018,Tue Feb 11 19:16:27 +0000 2020,calling out or correction,
1.22736290097048E+018,Tue Feb 11 22:44:53 +0000 2020,conspiracy,
1.22809096811465E+018,Thu Feb 13 22:57:58 +0000 2020,conspiracy,
1.22860892242625E+018,Sat Feb 15 09:16:08 +0000 2020,conspiracy,
1.2320595650653E+018,Mon Feb 24 21:47:45 +0000 2020,true public health response,
1.23239471764133E+018,Tue Feb 25 19:59:32 +0000 2020,conspiracy,
1.23250238101691E+018,Wed Feb 26 03:07:21 +0000 2020,conspiracy,
1.23255336443881E+018,Wed Feb 26 06:29:56 +0000 2020,calling out or correction,
1.23279195828158E+018,Wed Feb 26 22:18:01 +0000 2020,true public health response,
1.23296570045467E+018,Thu Feb 27 09:48:25 +0000 2020,calling out or correction,
1.23321995720845E+018,Fri Feb 28 02:38:44 +0000 2020,calling out or correction,
1.23346765686032E+018,Fri Feb 28 19:03:00 +0000 2020,calling out or correction,
1.23356632187658E+018,Sat Feb 29 01:35:04 +0000 2020,politics,
1.23359989221759E+018,Sat Feb 29 03:48:28 +0000 2020,politics,
1.23364285488455E+018,Sat Feb 29 06:39:11 +0000 2020,politics,
1.23366938551409E+018,Sat Feb 29 08:24:36 +0000 2020,calling out or correction,
1.2338232689241E+018,Sat Feb 29 18:36:05 +0000 2020,politics,
1.23384124626486E+018,Sat Feb 29 19:47:31 +0000 2020,politics,
1.23408507737977E+018,Sun Mar 01 11:56:25 +0000 2020,conspiracy,
1.23442442504861E+018,Mon Mar 02 10:24:52 +0000 2020,conspiracy,
1.23442645949583E+018,Mon Mar 02 10:32:57 +0000 2020,conspiracy,
1.23446165225216E+018,Mon Mar 02 12:52:47 +0000 2020,conspiracy,
1.23449344641882E+018,Mon Mar 02 14:59:08 +0000 2020,true prevention,
1.23452308577002E+018,Mon Mar 02 16:56:54 +0000 2020,calling out or correction,
1.23466458945269E+018,Tue Mar 03 02:19:11 +0000 2020,true prevention,
1.23473525918029E+018,Tue Mar 03 07:00:00 +0000 2020,calling out or correction,
1.23491246901901E+018,Tue Mar 03 18:44:10 +0000 2020,calling out or correction,
1.23554513193734E+018,Thu Mar 05 12:38:09 +0000 2020,politics,
1.23566247564067E+018,Thu Mar 05 20:24:26 +0000 2020,ambiguous or hard to classify,
1.23567804568124E+018,Thu Mar 05 21:26:18 +0000 2020,conspiracy,
1.23580464092458E+018,Fri Mar 06 05:49:21 +0000 2020,politics,
1.23581487087381E+018,Fri Mar 06 06:30:00 +0000 2020,calling out or correction,
1.23632933223626E+018,Sat Mar 07 16:34:17 +0000 2020,true prevention,
1.23644410895827E+018,Sun Mar 08 00:10:22 +0000 2020,conspiracy,
1.23650799738968E+018,Sun Mar 08 04:24:14 +0000 2020,politics,
1.23661174086493E+018,Sun Mar 08 11:16:28 +0000 2020,conspiracy,
1.23664216640079E+018,Sun Mar 08 13:17:22 +0000 2020,conspiracy,
1.23667203429109E+018,Sun Mar 08 15:16:03 +0000 2020,conspiracy,
1.23697639374712E+018,Mon Mar 09 11:25:28 +0000 2020,calling out or correction,calling out or correction
1.23697670747683E+018,Mon Mar 09 11:26:43 +0000 2020,news,
